TSB_nm,lambda_nm,T
0.0,450.00000000000006,0.1055074896639641
0.0,452.0,0.1478224300874302
0.0,454.0,0.1805246597869456
0.0,456.0000000000001,0.2012085555489256
0.0,458.0000000000001,0.2100757652445881
0.0,460.00000000000006,0.2088197907687521
0.0,462.00000000000006,0.1994757625732345
0.0,464.0,0.1839800368099769
0.0,466.0,0.1639873360605215
0.0,468.0,0.1408780074786773
0.0,470.0000000000001,0.1158501922930095
0.0,472.00000000000006,0.0900465917927174
0.0,474.00000000000006,0.0646903657763367
0.0,476.0,0.0412095726273358
0.0,478.0,0.0213175144242383
0.0,480.00000000000006,0.0069922662657225
0.0,482.0,0.0002774275614369267
0.0,484.00000000000006,0.0028424028769793
0.0,486.0000000000001,0.0153399043727276
0.0,488.00000000000006,0.0367810309616229
0.0,490.00000000000006,0.0642892644475572
0.0,492.0,0.0934935880402843
0.0,494.00000000000006,0.1194352813096159
0.0,496.0,0.1375279882030642
0.0,498.00000000000006,0.1441356186412488
0.0,500.00000000000006,0.1367184470485384
0.0,502.0,0.113980074418356
0.0,504.00000000000006,0.0768415034197587
0.0,506.0,0.0321983475598886
0.0,508.00000000000006,0.001141894273951
0.0,510.0,0.0262268387151777
0.0,512.0,0.1466386781172009
0.0,514.0000000000001,0.3342277982031555
0.0,516.0,0.5081222916239083
0.0,518.0000000000001,0.6255747069804086
0.0,520.0,0.6925722559706892
0.0,522.0,0.7276482396155375
0.0,524.0,0.7449800533913168
0.0,526.0,0.752961949340375
0.0,528.0000000000001,0.7561926077194533
0.0,530.0,0.75714507224822
0.0,532.0,0.7571503806614768
0.0,534.0000000000001,0.7569267721936395
0.0,536.0,0.7568591955985267
0.0,538.0000000000001,0.7571480709129804
0.0,540.0,0.7578898482614654
0.0,542.0000000000001,0.7591215139358061
0.0,544.0,0.7608456601052324
0.0,546.0,0.7630448500448848
0.0,548.0000000000001,0.765689964325085
0.0,550.0,0.7687450978523361
0.0,552.0000000000001,0.7721704477742263
0.0,554.0,0.7759240154209369
0.0,556.0,0.7799626014067683
0.0,558.0,0.7842423771107272
0.0,560.0,0.788719201995522
0.0,562.0000000000001,0.7933487888892179
0.0,564.0,0.7980867787275985
0.0,566.0000000000001,0.8028887612347599
0.0,568.0,0.8077102622353993
0.0,570.0,0.8125067080211428
0.0,572.0,0.8172333702193312
0.0,574.0,0.8218452895782885
0.0,576.0000000000001,0.8262971731439379
0.0,578.0,0.830543255882928
0.0,580.0000000000001,0.8345371145089374
0.0,582.0000000000001,0.8382314177485157
0.0,584.0,0.8415775932229338
0.0,586.0,0.8445253861630817
0.0,588.0,0.847022278882698
0.0,590.0000000000001,0.8490127317234348
0.0,592.0,0.8504371952889145
0.0,594.0,0.851230829106506
0.0,596.0000000000001,0.8513218418914514
0.0,598.0,0.8506293411570445
0.0,600.0000000000001,0.8490605417936865
0.0,602.0,0.8465071288226346
0.0,604.0000000000001,0.8428404824288654
0.0,606.0,0.8379051803266189
0.0,608.0,0.8315169908940152
0.0,610.0000000000001,0.8234281018515636
0.0,612.0,0.8133524164730791
0.0,614.0000000000001,0.8009120661091991
0.0,616.0,0.7856252169490832
0.0,618.0,0.7668690553845079
0.0,620.0,0.7438337350716531
0.0,622.0,0.7154639906038299
0.0,624.0000000000001,0.6803905014350571
0.0,626.0,0.6368637425529012
0.0,628.0000000000001,0.5827305742332739
0.0,630.0000000000001,0.5155586360163473
0.0,632.0,0.433149441766071
0.0,634.0,0.3349079642005782
0.0,636.0,0.2247046314645266
0.0,638.0000000000001,0.1152100176841035
0.0,640.0,0.0306157042006757
0.0,642.0000000000001,0.00010371526967930472
0.0,644.0000000000001,0.0390829833262446
0.0,646.0,0.1352674950894706
0.0,648.0,0.2580966359013406
0.0,650.0,0.3798915995252462
0.0,652.0000000000001,0.4858158648940247
0.0,654.0,0.5717983856279882
0.0,656.0,0.6392628555555621
0.0,658.0000000000001,0.691445088982418
0.0,660.0,0.7316615293348906
0.0,662.0000000000001,0.762716470459914
0.0,664.0,0.7868067016163721
0.0,666.0000000000001,0.80559777385654
0.0,668.0,0.8203371296503553
0.0,670.0,0.8319574854884074
0.0,672.0000000000001,0.8411589934329788
0.0,674.0,0.8484708992060724
0.0,676.0000000000001,0.8542966730530087
0.0,678.0,0.8589467333496262
0.0,680.0,0.8626621452039978
0.0,682.0,0.8656318409943226
0.0,684.0,0.868005208499563
0.0,686.0000000000001,0.8699013613002924
0.0,688.0,0.8714160220468995
0.0,690.0000000000001,0.8726266771709662
0.0,692.0000000000001,0.8735964706505219
0.0,694.0,0.8743771706403769
0.0,696.0,0.8750114488439453
0.0,698.0,0.8755346462607135
0.0,700.0000000000001,0.8759761519621894
0.0,702.0,0.8763604879970085
0.0,704.0000000000001,0.8767081693988483
0.0,706.0000000000001,0.8770363907880582
0.0,708.0,0.8773595782960566
0.0,710.0,0.8776898361576109
0.0,712.0,0.8780373103641284
0.0,714.0000000000001,0.8784104865838706
0.0,716.0,0.8788164356584596
0.0,718.0,0.8792610170369739
0.0,720.0000000000001,0.8797490482656894
0.0,722.0,0.8802844469300709
0.0,724.0,0.8808703501222545
0.0,726.0000000000001,0.8815092154764236
0.0,728.0000000000001,0.8822029070149645
0.0,730.0,0.8829527684172646
0.0,732.0,0.883759685828285
0.0,734.0000000000001,0.8846241419293676
0.0,736.0,0.8855462626816581
0.0,738.0000000000001,0.8865258579007856
0.0,740.0000000000001,0.887562456619052
0.0,742.0,0.8886553380293938
0.0,744.0,0.8898035586712972
0.0,746.0,0.8910059764114053
0.0,748.0000000000001,0.8922612716831378
0.0,750.0,0.8935679663750367
1.0,450.00000000000006,0.1045925038397703
1.0,452.0,0.1468945904672613
1.0,454.0,0.1796602765689847
1.0,456.0000000000001,0.2003316506346468
1.0,458.0000000000001,0.209220541707519
1.0,460.00000000000006,0.207970442039866
1.0,462.00000000000006,0.1986326315151056
1.0,464.0,0.1831511688166642
1.0,466.0,0.1631862883661372
1.0,468.0,0.1401217568936841
1.0,470.0000000000001,0.115157564675424
1.0,472.00000000000006,0.0894370038759011
1.0,474.00000000000006,0.0641824252004235
1.0,476.0,0.0408190332389818
1.0,478.0,0.0210542126448017
1.0,480.00000000000006,0.0068561130137591
1.0,482.0,0.00025446232397146137
1.0,484.00000000000006,0.0029031645592772
1.0,486.0000000000001,0.0154429670963913
1.0,488.00000000000006,0.0368828661516442
1.0,490.00000000000006,0.0643582047311935
1.0,492.0,0.0935193256353952
1.0,494.00000000000006,0.1194317832889999
1.0,496.0,0.1375268403883955
1.0,498.00000000000006,0.1441754630709698
1.0,500.00000000000006,0.1368327080954547
1.0,502.0,0.114202713158117
1.0,504.00000000000006,0.0771395538843606
1.0,506.0,0.0324841757332286
1.0,508.00000000000006,0.0012128767455168
1.0,510.0,0.0258723888021458
