% Model,Simultaneous Measurement of Seawater-v0.mph
% Version,COMSOL 6.3.0.290
% Date,"Feb 18 2026, 00:26"
% Table,Umami Table - Umami-Evaluation
% lambda (m),d (nm),lambda0 (µm),Total transmittance (1)
4.64E-7,104.99999999999999,0.464,0.16860531416258098
4.64E-7,109.99999999999999,0.464,0.1869612280366524
4.64E-7,115,0.464,0.19444920742941577
4.64E-7,120,0.464,0.19776595050888246
4.66E-7,94.99999999999999,0.466,0.04634665670775814
4.66E-7,100,0.466,0.08954074696760608
4.66E-7,104.99999999999999,0.466,0.1225364793765246
4.66E-7,109.99999999999999,0.466,0.14619091640169563
4.66E-7,115,0.466,0.15929029728173877
4.66E-7,120,0.466,0.16763765569054184
4.68E-7,94.99999999999999,0.468,0.011657300188539433
4.68E-7,100,0.468,0.045636118285995717
4.68E-7,104.99999999999999,0.468,0.07864150639967123
4.68E-7,109.99999999999999,0.468,0.10546351320493137
4.68E-7,115,0.468,0.12298542619421361
4.68E-7,120,0.468,0.13557096723049883
4.7000000000000005E-7,94.99999999999999,0.47000000000000003,1.27842904263558E-4
4.7000000000000005E-7,100,0.47000000000000003,0.013557960709204111
4.7000000000000005E-7,104.99999999999999,0.47000000000000003,0.040362587462398285
4.7000000000000005E-7,109.99999999999999,0.47000000000000003,0.0669961260988543
4.7000000000000005E-7,115,0.47000000000000003,0.08712414639572495
4.7000000000000005E-7,120,0.47000000000000003,0.10286381071047056
4.7200000000000004E-7,94.99999999999999,0.47200000000000003,0.019325447848258518
4.7200000000000004E-7,100,0.47200000000000003,6.945078046651669E-5
4.7200000000000004E-7,104.99999999999999,0.47200000000000003,0.012337110307820762
4.7200000000000004E-7,109.99999999999999,0.47200000000000003,0.03383224715693767
4.7200000000000004E-7,115,0.47200000000000003,0.05378943065211347
4.7200000000000004E-7,120,0.47200000000000003,0.07106289036032953
4.7400000000000004E-7,94.99999999999999,0.47400000000000003,0.0722882601816425
4.7400000000000004E-7,100,0.47400000000000003,0.011685601235776541
4.7400000000000004E-7,104.99999999999999,0.47400000000000003,1.3308251927350765E-4
4.7400000000000004E-7,109.99999999999999,0.47400000000000003,0.009963771547748804
4.7400000000000004E-7,115,0.47400000000000003,0.025758949192576257
4.7400000000000004E-7,120,0.47400000000000003,0.04215476310618158
4.7600000000000003E-7,94.99999999999999,0.47600000000000003,0.15423616813010335
4.7600000000000003E-7,100,0.47600000000000003,0.051946082408064274
4.7600000000000003E-7,104.99999999999999,0.47600000000000003,0.009118174592759364
4.7600000000000003E-7,109.99999999999999,0.47600000000000003,5.1364739084252646E-5
4.7600000000000003E-7,115,0.47600000000000003,0.006540615006025657
4.7600000000000003E-7,120,0.47600000000000003,0.018689906239797566
4.78E-7,94.99999999999999,0.47800000000000004,0.25285104655896073
4.78E-7,100,0.47800000000000004,0.11854183547717029
4.78E-7,104.99999999999999,0.47800000000000004,0.04235411745700555
4.78E-7,109.99999999999999,0.47800000000000004,0.008450363331792278
4.78E-7,115,0.47800000000000004,3.6814300163939775E-5
4.78E-7,120,0.47800000000000004,0.003725131610949504
4.800000000000001E-7,94.99999999999999,0.48000000000000004,0.3529075790454256
4.800000000000001E-7,100,0.48000000000000004,0.20260890432213022
4.800000000000001E-7,104.99999999999999,0.48000000000000004,0.09829876333247765
4.800000000000001E-7,109.99999999999999,0.48000000000000004,0.037504503005201806
4.800000000000001E-7,115,0.48000000000000004,0.009635700181991034
4.800000000000001E-7,120,0.48000000000000004,4.2373657413127596E-4
4.82E-7,94.99999999999999,0.482,0.44192989292366663
4.82E-7,100,0.482,0.29152476693232815
4.82E-7,104.99999999999999,0.482,0.17003536032429348
4.82E-7,109.99999999999999,0.482,0.08575399354430621
4.82E-7,115,0.482,0.03678501531505556
4.82E-7,120,0.482,0.011204889928500253
4.84E-7,94.99999999999999,0.48400000000000004,0.5130454068146986
4.84E-7,100,0.48400000000000004,0.37350347426098934
4.84E-7,104.99999999999999,0.48400000000000004,0.24714108433045834
4.84E-7,109.99999999999999,0.48400000000000004,0.14734020781806437
4.84E-7,115,0.48400000000000004,0.07964183444911152
4.84E-7,120,0.48400000000000004,0.03658854905121066
4.860000000000001E-7,94.99999999999999,0.4860000000000001,0.5644488254190673
4.860000000000001E-7,100,0.4860000000000001,0.4408097116077296
4.860000000000001E-7,104.99999999999999,0.4860000000000001,0.3192486578948552
4.860000000000001E-7,109.99999999999999,0.4860000000000001,0.21346234968530733
4.860000000000001E-7,115,0.4860000000000001,0.1328051528992164
4.860000000000001E-7,120,0.4860000000000001,0.07428340310180728
4.88E-7,94.99999999999999,0.48800000000000004,0.5973006889290344
4.88E-7,100,0.48800000000000004,0.49018853275794266
4.88E-7,104.99999999999999,0.48800000000000004,0.37889102859895846
4.88E-7,109.99999999999999,0.48800000000000004,0.27516285028696635
4.88E-7,115,0.48800000000000004,0.18861943707272924
4.88E-7,120,0.48800000000000004,0.11922645735882638
4.900000000000001E-7,94.99999999999999,0.49000000000000005,0.6137238295941375
4.900000000000001E-7,100,0.49000000000000005,0.521439284381092
4.900000000000001E-7,104.99999999999999,0.49000000000000005,0.42223713858486894
4.900000000000001E-7,109.99999999999999,0.49000000000000005,0.3256486164193775
4.900000000000001E-7,115,0.49000000000000005,0.23941151688333626
4.900000000000001E-7,120,0.49000000000000005,0.16478728594524228
4.92E-7,94.99999999999999,0.492,0.6154520369363291
4.92E-7,100,0.492,0.5355978592812553
4.92E-7,104.99999999999999,0.492,0.44813470919829157
4.92E-7,109.99999999999999,0.492,0.36099637794762246
4.92E-7,115,0.492,0.2792549955202248
4.92E-7,120,0.492,0.2044897043656831
4.940000000000001E-7,94.99999999999999,0.49400000000000005,0.6029620385689077
4.940000000000001E-7,100,0.49400000000000005,0.5334736920105566
4.940000000000001E-7,104.99999999999999,0.49400000000000005,0.45657022482846277
4.940000000000001E-7,109.99999999999999,0.49400000000000005,0.3794471854910052
4.940000000000001E-7,115,0.49400000000000005,0.30445311753241583
4.940000000000001E-7,120,0.49400000000000005,0.23325202260312336
4.96E-7,94.99999999999999,0.496,0.5746876115497178
4.96E-7,100,0.496,0.5145676124215773
4.96E-7,104.99999999999999,0.496,0.44725043032716977
4.96E-7,109.99999999999999,0.496,0.3801141526242514
4.96E-7,115,0.496,0.3129203620723387
4.96E-7,120,0.496,0.2476422136973491
4.98E-7,94.99999999999999,0.49800000000000005,0.526610151595151
4.98E-7,100,0.49800000000000005,0.4763739624451035
4.98E-7,104.99999999999999,0.49800000000000005,0.41845599266869127
4.98E-7,109.99999999999999,0.49800000000000005,0.3617175936896862
