% Model,Simultaneous Measurement of Seawater-v0.mph
% Version,COMSOL 6.3.0.290
% Date,"Feb 18 2026, 00:30"
% Table,Chilly Table - Chilly-Evaluation
% lambda (m),n_env_0,lambda0 (µm),Total transmittance (1),Total transmittance (1),Total transmittance (1),Total transmittance (1)
6.550000000000001E-7,1.32,0.655,0.9779282606042833,0.9779282606043874,0.9779282606043874,0.967985519147181
6.550000000000001E-7,1.33,0.655,0.9824461151451497,0.9802337137022789,0.9802337137022789,0.973079754756885
6.550000000000001E-7,1.34,0.655,0.9865518068437197,0.9824461151451058,0.9824461151451058,0.9779282606043356
6.550000000000001E-7,1.35,0.655,0.9901689678964627,0.9845553955546248,0.9845553955546248,0.9824461151452113
6.6E-7,1.32,0.66,0.9720632845084919,0.9865518068438061,0.9865518068438061,0.9865518068437834
6.6E-7,1.33,0.66,0.9770977033616127,0.9884259775404205,0.9884259775404205,0.9901689678965359
6.6E-7,1.34,0.66,0.9817895220766475,0.9901689678964611,0.9901689678964611,0.9647130954624361
6.6E-7,1.35,0.66,0.9860567720818253,0.9750788667126132,0.9750788667126132,0.970000042335388
6.650000000000001E-7,1.32,0.6650000000000001,0.9655605339781517,0.9775132886936585,0.9775132886936585,0.9750788667125496
6.650000000000001E-7,1.33,0.6650000000000001,0.9710533281409599,0.9798635693150667,0.9798635693150667,0.9798635693152625
6.650000000000001E-7,1.34,0.6650000000000001,0.976270130168063,0.982119330536648,0.982119330536648,0.9842704472289138
6.650000000000001E-7,1.35,0.6650000000000001,0.981128834084311,0.9842704472292184,0.9842704472292184,0.9882198502204936
6.7E-7,1.32,0.67,0.9583554531732804,0.9863071036576824,0.9863071036576824,0.9613067522654574
6.7E-7,1.33,0.67,0.9643176314494591,0.9882198502204226,0.9882198502204226,0.9667710486239193
6.7E-7,1.34,0.67,0.9700362863617676,0.9720632845084586,0.9720632845084586,0.9720632845084498
6.7E-7,1.35,0.67,0.9754455617004099,0.9746180641633626,0.9746180641633626,0.9770977033615802
6.750000000000001E-7,1.32,0.6750000000000002,0.949644207533948,0.9770977033617319,0.9770977033617319,0.9817895220767732
6.750000000000001E-7,1.33,0.6750000000000002,0.9565013114105222,0.979491648624152,0.979491648624152,0.9860567720818072
6.750000000000001E-7,1.34,0.6750000000000002,0.9629148840174439,0.9817895220767543,0.9817895220767543,0.9577647525831057
6.750000000000001E-7,1.35,0.6750000000000002,0.9689496290686108,0.98398118006379,0.98398118006379,0.963397471641964
6.800000000000001E-7,1.32,0.68,0.9260523897359694,0.9860567720819418,0.9860567720819418,0.9688899813468238
6.800000000000001E-7,1.33,0.68,0.9432488990181979,0.9688899813467722,0.9688899813467722,0.974158871146808
6.800000000000001E-7,1.34,0.68,0.9531358088194904,0.9715576507101025,0.9715576507101025,0.979119872751903
6.800000000000001E-7,1.35,0.68,0.9608561651837187,0.974158871146798,0.974158871146798,0.9836899782958851
6.850000000000001E-7,1.32,0.6850000000000002,0.9416149162509587,0.9766830997279329,0.9766830997279329,0.9540672289612582
6.850000000000001E-7,1.33,0.6850000000000002,0.9280570551329546,0.9791198727518604,0.9791198727518604,0.9598728098908521
